valuation,Rating year,Location,Suburb,Town/City,Total Rates
1486130700,2018,"""85,91 Greenwood Boulevard, Otaki""",,,2810.15
1486130800,2018,"""95 Greenwood Boulevard, Otaki""",,,2681.15
1486130801,2018,"""101 Greenwood Boulevard, Otaki""",,,2770.41
1486130802,2018,"""103 Greenwood Boulevard, Otaki""",,,4334.53
1486130900,2018,"""105-109 Greenwood Boulevard, Otaki""",,,2894.21
1486131000,2018,"""111 Greenwood Boulevard, Otaki""",,,2729.33
1486131100,2018,"""119 Greenwood Boulevard, Otaki""",,,2994.21
1486131200,2018,"""117 Greenwood Boulevard, Otaki""",,,3076.54
1486131400,2018,"""115 Greenwood Boulevard, Otaki""",,,2706.72
1486131500,2018,"""116 Greenwood Boulevard, Otaki""",,,2960.4
1486131600,2018,"""114 Greenwood Boulevard, Otaki""",,,2882.85
1486131700,2018,"""108 Greenwood Boulevard, Otaki""",,,2753.14
1486131800,2018,"""100 Greenwood Boulevard, Otaki""",,,3028.01
1486131900,2018,"""90 Greenwood Boulevard, Otaki""",,,3193.54
1486132000,2018,"""82 Greenwood Boulevard, Otaki""",,,2669.53
1486132100,2018,"""84 Greenwood Boulevard, Otaki""",,,2728.21
1486132200,2018,"""70 Greenwood Boulevard, Otaki""",,,2871.84
1486132300,2018,"""80 Greenwood Boulevard, Otaki""",,,2734.78
1486132400,2018,"""62-68 Greenwood Boulevard, Otaki""",,,2691.43
1486132500,2018,"""7 Sunglo Terrace, Otaki""",,,3192.15
1486132600,2018,"""17,33 Sunglo Terrace, Otaki""",,,2886.92
1486132700,2018,"""35 Sunglo Terrace, Otaki""",,,2889.14
1486132800,2018,"""53 Sunglo Terrace, Otaki""",,,2908.02
1486132801,2018,"""Sunglo Terrace, Otaki""",,,0
1486132900,2018,"""57 Sunglo Terrace, Otaki""",,,3272.03
1486132901,2018,"""59 Sunglo Terrace, Otaki""",,,2144.58
1486133100,2018,"""61 Sunglo Terrace, Otaki""",,,2762.61
1486133200,2018,"""63 Sunglo Terrace, Otaki""",,,3215.07
1486133300,2018,"""62 Sunglo Terrace, Otaki""",,,3497.52
1486133400,2018,"""40 Sunglo Terrace, Otaki""",,,2703.79
1486133500,2018,"""56 Sunglo Terrace, Otaki""",,,2334.5
1486133600,2018,"""32 Greenwood Boulevard, Otaki""",,,2918.78
1486133700,2018,"""24 Greenwood Boulevard, Otaki""",,,2680.61
1486133701,2018,"""22 Greenwood Boulevard, Otaki""",,,2503.12
1486133800,2018,"""20 Greenwood Boulevard, Otaki""",,,2657.45
1486133900,2018,"""136 Waitohu Valley Road, Otaki""",,,2764.45
